company,title,location,url,description,source
CSCS Swiss National Supercomputing Centre,Scientific Computing Research Engineer Lead,Lugano / Ticino,https://www.cscs.ch/about/careers/,Scientific computing HPC numerical methods simulation research engineering in Lugano. Strong fit with numerical analysis scientific computing high-performance computing and Python.,manual
CEA,Research Scientist in Scientific Computing and Optimization,Paris-Saclay / France,https://www.cea.fr/english/Pages/careers/jobs.aspx,Scientific computing numerical optimization simulation applied mathematics machine learning and computational modelling research roles.,manual
Google DeepMind,Research Scientist in Machine Learning and Multi-Agent Systems,Zurich / Paris / London,https://deepmind.google/careers/,Research scientist and research engineer roles involving machine learning reinforcement learning multi-agent systems optimization and large-scale approximation.,manual
Google Careers,Research Scientist Applied ML and Optimization,Zurich / Paris / Europe,https://www.google.com/about/careers/applications/jobs/results/,Applied scientist or research scientist roles involving machine learning optimization numerical methods and AI research in Zurich Paris or Europe.,manual
IBM Research Zurich,Research Scientist in AI Optimization and Scientific Computing,Zurich / Switzerland,https://www.ibm.com/careers/search,Research scientist AI optimization mathematical modelling scientific computing and industrial research in Zurich.,manual
ABB,Research Scientist in Optimization Control and Robotics,Switzerland / Italy / Europe,https://careers.abb/global/en/search-results,Industrial research roles in optimization control systems robotics simulation model predictive control and applied mathematics.,manual
Siemens,Research Scientist in Simulation Optimization and Digital Twin,Switzerland / Italy / France / Europe,https://jobs.siemens.com/careers,Industrial research roles in simulation optimization control systems digital twin scientific computing and applied AI.,manual
Novartis,Computational Modelling Research Scientist,Basel / Switzerland,https://www.novartis.com/careers/career-search,Computational modelling data science machine learning mathematical modelling and research scientist roles where quantitative modelling is central.,manual
Roche,Research Scientist in Computational Modelling and Machine Learning,Basel / Switzerland,https://www.roche.com/careers/jobs,Computational modelling machine learning data science mathematical modelling and research scientist roles with quantitative modelling focus.,manual
QRT,Quantitative Researcher Mathematical Finance,Geneva / Zurich / Paris / London,https://www.qube-rt.com/careers/,Quantitative research role potentially related to mathematical finance stochastic modelling kernel methods numerical methods options and portfolio research.,manual
Jane Street,Quantitative Researcher / Trader with Mathematical Finance Focus,London / Europe,https://www.janestreet.com/join-jane-street/open-roles/,Quantitative research and trading roles where mathematical finance optimization probability numerical methods and research coding matter.,manual
Hudson River Trading,Algorithmic Researcher Quantitative Finance,London / Europe,https://www.hudsonrivertrading.com/careers/,Quantitative finance and algorithmic research role involving mathematical modelling optimization statistics numerical methods and programming.,manual
